# P2 pivot elimination scan, lattices L in [3200, 200000]
# pool S(L) = {m | L : m>=3, 2m+1 prime};  tests: budget>1 and Phi_q>=1 for q | L
# SCOPE: a KILL only rules out pivot coverings whose lcm divides L. Not a proof for H\{2}.
  L = 10800    |S| =  25 budget 1.28944  SURVIVES ->  needs SAT   pool: 10800 3 5 6 8 9 1080 900 15 18 600 20 30 36 300 270 48 50 216 54 200 75 135 90 120
  L = 10920    |S| =  28 budget 1.28791  SURVIVES ->  needs SAT   pool: 10920 3 5 6 1560 8 1365 14 15 20 546 21 455 26 30 35 39 273 260 210 56 65 168 156 78 140 120 105
  L = 11088    |S| =  26 budget 1.17875  SURVIVES ->  needs SAT   pool: 3 3696 6 1848 1584 8 9 11 1008 14 18 21 504 33 336 36 308 44 48 231 56 198 63 176 168 99
  L = 11340    |S| =  29 budget 1.29921  NODECAP q=3 -> UNDECIDED
  L = 11760    |S| =  24 budget 1.21684  SURVIVES ->  needs SAT   pool: 3 3920 2940 5 6 1680 8 14 15 735 20 21 30 35 336 48 245 56 210 168 140 98 120 105
  L = 11880    |S| =  30 budget 1.39966  SURVIVES ->  needs SAT   pool: 11880 3 5 6 8 1485 9 1188 11 1080 15 18 660 20 495 440 30 33 36 330 44 270 54 216 198 165 135 90 99 120
  L = 12240    |S| =  26 budget 1.26495  SURVIVES ->  needs SAT   pool: 12240 6120 3 4080 3060 5 6 8 1530 9 15 765 18 680 20 510 30 36 306 48 51 204 68 153 90 120
  L = 12600    |S| =  36 budget 1.45444  SURVIVES ->  needs SAT   pool: 6300 3 3150 5 6 2100 8 9 1400 1260 14 900 15 18 20 21 600 525 504 30 35 36 350 315 300 50 56 210 63 200 75 168 90 140 105 120
  L = 12960    |S| =  27 budget 1.27770  NODECAP q=3 -> UNDECIDED
  L = 13230    |S| =  26 budget 1.21519  SURVIVES ->  needs SAT   pool: 3 4410 5 6 9 1323 14 15 18 735 21 30 441 35 378 315 270 54 245 63 210 189 90 98 135 105
  L = 13440    |S| =  28 budget 1.23043  NODECAP q=2 -> UNDECIDED
  L = 13680    |S| =  24 budget 1.24203  SURVIVES ->  needs SAT   pool: 13680 6840 3 3420 5 6 2280 8 9 1520 1140 15 18 20 30 36 380 48 285 228 90 95 114 120
  L = 13860    |S| =  33 budget 1.42525  SURVIVES ->  needs SAT   pool: 3 4620 5 6 2310 9 11 1260 1155 14 15 18 20 21 660 495 30 33 35 36 330 44 315 308 231 63 210 198 165 90 99 140 105
  L = 14040    |S| =  30 budget 1.33369  NODECAP q=3 -> UNDECIDED
  L = 14280    |S| =  29 budget 1.23319  SURVIVES ->  needs SAT   pool: 7140 3 4760 5 6 8 1785 1428 1190 14 15 20 714 21 680 510 30 476 35 51 56 68 210 204 168 140 105 119 120
  L = 14400    |S| =  27 budget 1.27493  NODECAP q=2 -> UNDECIDED
  L = 14490    |S| =  27 budget 1.23941  SURVIVES ->  needs SAT   pool: 3 4830 5 6 2415 9 1610 14 15 966 18 21 690 23 30 483 35 414 345 315 63 230 69 210 90 105 138
  L = 15120    |S| =  38 budget 1.47255  NODECAP q=3 -> UNDECIDED
  L = 15840    |S| =  30 budget 1.40556  SURVIVES ->  needs SAT   pool: 3 5 3168 6 2640 8 9 1584 11 15 1056 18 20 660 30 495 33 36 440 44 48 330 288 198 90 176 96 165 99 120
  L = 15960    |S| =  25 budget 1.20952  SURVIVES ->  needs SAT   pool: 3 5 6 2280 8 14 1140 15 1064 20 798 21 30 35 380 56 285 228 210 95 168 105 114 140 120
  L = 16200    |S| =  31 budget 1.28722  NODECAP q=3 -> UNDECIDED
  L = 16380    |S| =  35 budget 1.36081  SURVIVES ->  needs SAT   pool: 8190 3 4095 5 3276 6 9 1365 1260 14 1170 15 18 20 21 26 585 30 546 35 468 36 455 39 315 273 63 260 65 78 210 90 105 156 140
  L = 16560    |S| =  24 budget 1.28835  SURVIVES ->  needs SAT   pool: 8280 3 5 6 2760 8 9 1656 15 18 20 828 23 690 30 36 414 48 345 69 230 90 120 138
  L = 16632    |S| =  28 budget 1.18013  SURVIVES ->  needs SAT   pool: 8316 3 4158 6 8 2079 9 1848 11 14 1188 18 21 33 504 36 44 378 54 308 56 63 231 216 198 189 99 168
  L = 16800    |S| =  33 budget 1.26649  SURVIVES ->  needs SAT   pool: 16800 3 5 6 2400 8 2100 1680 1400 14 15 20 21 800 600 30 525 35 48 350 50 336 56 300 75 224 210 200 96 168 105 120 140
  L = 17010    |S| =  27 budget 1.21787  NODECAP q=3 -> UNDECIDED
  L = 17160    |S| =  26 budget 1.24720  SURVIVES ->  needs SAT   pool: 3 4290 5 6 8 1716 11 1560 1430 15 20 26 660 30 33 39 440 429 44 330 65 260 78 165 156 120
  L = 17280    |S| =  26 budget 1.27488  NODECAP q=3 -> UNDECIDED
  L = 17640    |S| =  33 budget 1.42296  SURVIVES ->  needs SAT   pool: 17640 3 4410 5 3528 6 2940 8 9 1764 14 1260 15 18 20 21 735 30 35 504 36 441 56 315 63 245 210 90 98 105 168 120 140
  L = 17820    |S| =  29 budget 1.27587  NODECAP q=3 -> UNDECIDED
  L = 18000    |S| =  25 budget 1.26711  NODECAP q=5 -> UNDECIDED
  L = 18360    |S| =  33 budget 1.28241  NODECAP q=3 -> UNDECIDED
  L = 18480    |S| =  36 budget 1.37348  SURVIVES ->  needs SAT   pool: 9240 3 4620 5 3696 6 2640 8 2310 1848 11 1680 14 15 1155 20 21 660 30 33 35 440 44 48 336 56 330 308 231 210 105 176 168 165 120 140
  L = 18720    |S| =  30 budget 1.33547  SURVIVES ->  needs SAT   pool: 18720 3 5 3744 6 8 9 1560 15 1170 18 1040 20 936 26 30 624 585 36 39 468 48 65 288 260 78 90 96 120 156
  L = 18900    |S| =  34 budget 1.32577  SURVIVES ->  needs SAT   pool: 3 6300 5 3780 6 3150 9 2100 14 15 1260 18 20 21 900 30 35 36 525 50 378 54 350 315 63 300 270 75 90 210 189 105 135 140
  L = 19320    |S| =  29 budget 1.25637  SURVIVES ->  needs SAT   pool: 3 4830 5 6 2760 8 2415 1610 14 15 20 966 21 23 690 30 644 35 483 56 345 69 230 210 105 168 120 138 140
  L = 19440    |S| =  29 budget 1.26893  NODECAP q=3 -> UNDECIDED
  L = 19800    |S| =  32 budget 1.40864  SURVIVES ->  needs SAT   pool: 9900 3 4950 5 6 8 2475 9 11 1650 15 18 20 900 30 660 33 600 36 495 44 440 50 330 300 75 90 99 200 198 120 165
  L = 20160    |S| =  37 budget 1.45362  SURVIVES ->  needs SAT   pool: 10080 3 6720 5 6 8 9 2240 1680 14 15 1344 1260 18 20 1008 21 30 35 576 36 504 48 56 336 63 320 315 288 90 224 96 210 105 120 168 140
  L = 20520    |S| =  29 budget 1.25697  SURVIVES ->  needs SAT   pool: 10260 3 6840 5 4104 6 3420 8 9 2280 15 18 1140 1080 20 1026 30 36 54 380 285 270 90 228 95 216 114 120 135
  L = 20790    |S| =  33 budget 1.35079  SURVIVES ->  needs SAT   pool: 3 5 4158 6 9 2310 2079 11 14 1485 15 18 1155 21 30 33 35 495 54 378 63 330 315 270 90 231 99 210 105 198 189 165 135
  L = 20880    |S| =  25 budget 1.26786  SURVIVES ->  needs SAT   pool: 20880 3 6960 5 4176 6 3480 8 9 2088 15 18 20 1044 870 29 30 36 464 48 261 90 116 120 174
  L = 21000    |S| =  31 budget 1.23738  NODECAP q=5 -> UNDECIDED
  L = 21060    |S| =  28 budget 1.20935  NODECAP q=3 -> UNDECIDED
  L = 21420    |S| =  38 budget 1.31303  SURVIVES ->  needs SAT   pool: 21420 3 7140 5355 5 6 3060 9 1785 14 1530 15 1428 1260 18 1190 20 1071 21 765 30 714 35 36 510 476 51 63 68 315 306 90 210 105 204 119 140 153
  L = 21600    |S| =  32 budget 1.30542  SURVIVES ->  needs SAT   pool: 21600 10800 3 7200 5 4320 6 8 9 2400 15 18 20 1080 900 800 30 36 600 48 50 54 300 75 288 270 90 96 216 200 120 135
  L = 21840    |S| =  35 budget 1.31525  SURVIVES ->  needs SAT   pool: 10920 3 7280 5 4368 6 8 1680 14 1560 15 1365 20 21 1040 26 30 35 624 39 546 48 455 56 65 336 78 273 260 210 105 120 168 140 156
  L = 22176    |S| =  31 budget 1.19837  SURVIVES ->  needs SAT   pool: 3 6 3696 3168 8 9 11 1848 14 1584 18 21 1056 1008 33 36 44 504 48 56 63 336 308 288 96 231 99 224 198 176 168
  L = 22680    |S| =  40 budget 1.46592  NODECAP q=3 -> UNDECIDED
  L = 23100    |S| =  33 budget 1.22602  SURVIVES ->  needs SAT   pool: 3 7700 5775 5 4620 6 2310 11 2100 1925 14 1650 15 20 1155 21 30 33 35 660 44 525 50 350 330 75 308 300 231 105 210 140 165
  L = 23400    |S| =  34 budget 1.34551  SURVIVES ->  needs SAT   pool: 3 7800 5850 5 6 8 2925 9 15 1560 18 20 1170 975 936 26 900 30 36 650 39 600 585 50 468 65 75 78 300 90 260 200 120 156
  L = 23520    |S| =  28 budget 1.23240  SURVIVES ->  needs SAT   pool: 23520 3 5 6 3920 8 2940 14 1680 15 1568 20 21 30 735 35 48 56 336 96 245 98 105 224 210 120 140 168
  L = 23760    |S| =  35 budget 1.42723  SURVIVES ->  needs SAT   pool: 23760 11880 3 5 6 8 9 2640 11 15 1584 1485 18 20 1188 1080 30 33 36 660 44 48 495 54 440 330 270 90 99 216 120 198 135 176 165
  L = 23940    |S| =  30 budget 1.27732  SURVIVES ->  needs SAT   pool: 23940 3 5985 5 6 3420 9 2394 14 15 18 1260 20 21 1140 30 798 35 36 63 380 315 285 90 95 105 228 114 210 140
  L = 24360    |S| =  23 budget 1.22763  SURVIVES ->  needs SAT   pool: 3 5 6 3480 8 3045 14 15 20 1218 21 870 29 30 35 56 105 116 210 120 140 174 168
  L = 24480    |S| =  29 budget 1.27921  SURVIVES ->  needs SAT   pool: 12240 3 6120 5 6 4080 8 3060 9 2720 15 1530 18 20 30 765 36 680 48 510 51 68 306 288 90 96 120 204 153
  L = 24570    |S| =  35 budget 1.30081  NODECAP q=3 -> UNDECIDED
  L = 24840    |S| =  33 budget 1.30370  SURVIVES ->  needs SAT   pool: 24840 12420 3 8280 6210 5 6 8 3105 9 2760 2484 15 1656 18 20 23 1080 30 828 36 690 54 414 69 345 90 270 230 216 120 135 138
  L = 25200    |S| =  40 budget 1.47984  SURVIVES ->  needs SAT   pool: 3 6300 5 6 8 3150 9 2100 14 15 1680 18 1400 20 1260 21 1008 900 30 35 36 600 48 525 50 504 56 63 350 75 336 315 300 90 105 120 210 200 140 168
  L = 25740    |S| =  34 budget 1.33850  SURVIVES ->  needs SAT   pool: 25740 12870 3 5 6 4290 9 11 15 1716 18 1430 20 1170 26 30 33 36 39 660 44 585 495 468 429 65 78 330 90 99 260 198 156 165
  L = 25920    |S| =  31 budget 1.28333  NODECAP q=3 -> UNDECIDED
  L = 26040    |S| =  25 budget 1.19270  SURVIVES ->  needs SAT   pool: 26040 13020 3 5 6 4340 8 2604 14 15 20 21 930 30 35 744 651 56 105 120 210 140 186 155 168
  L = 26460    |S| =  33 budget 1.30208  SURVIVES ->  needs SAT   pool: 3 5 6 4410 3780 9 2940 14 15 1764 18 20 1323 21 1260 30 35 36 735 54 441 63 378 315 90 98 270 105 245 210 135 140 189
  L = 26880    |S| =  31 budget 1.23099  NODECAP q=2 -> UNDECIDED
  L = 27000    |S| =  29 budget 1.28100  SURVIVES ->  needs SAT   pool: 27000 3 5 6 4500 8 9 15 18 1500 20 1125 1080 30 900 36 600 50 54 375 75 90 300 270 120 125 216 135 200
  L = 27300    |S| =  31 budget 1.17454  NODECAP q=5 -> UNDECIDED
  L = 27360    |S| =  28 budget 1.25760  SURVIVES ->  needs SAT   pool: 27360 13680 3 6840 5 6 8 3420 9 2280 15 18 1520 20 1140 30 36 608 48 380 90 95 288 96 285 114 120 228
  L = 27720    |S| =  42 budget 1.58734  SURVIVES ->  needs SAT   pool: 27720 3 9240 5 6 4620 8 9 11 2310 14 15 1848 18 20 21 1260 1155 30 33 35 36 660 44 504 56 495 63 440 330 315 90 308 99 105 120 231 210 140 198 165 168
  L = 28080    |S| =  33 budget 1.35709  SURVIVES ->  needs SAT   pool: 14040 3 5 6 8 9 15 1755 18 1560 20 1170 26 1080 1040 30 936 36 39 624 48 585 54 468 65 78 90 270 260 120 216 135 156
  L = 28350    |S| =  33 budget 1.25249  NODECAP q=3 -> UNDECIDED
  L = 28560    |S| =  33 budget 1.25784  SURVIVES ->  needs SAT   pool: 3 7140 5 6 4760 4080 8 14 15 1785 1680 20 1428 21 1190 30 35 714 680 48 51 56 510 476 68 336 105 119 120 210 140 204 168
  L = 28800    |S| =  30 budget 1.28538  NODECAP q=2 -> UNDECIDED
  L = 28980    |S| =  34 budget 1.32805  SURVIVES ->  needs SAT   pool: 3 5 5796 6 4830 9 2415 14 15 18 1610 20 21 23 1260 30 966 35 828 36 690 644 483 63 69 414 345 90 315 105 230 138 210 140
  L = 29160    |S| =  30 budget 1.24942  NODECAP q=3 -> UNDECIDED
  L = 29400    |S| =  31 budget 1.24180  SURVIVES ->  needs SAT   pool: 14700 3 5 6 8 3675 2940 14 2100 15 20 21 1400 30 35 735 600 50 56 525 75 350 98 300 105 120 245 140 210 200 168
  L = 29700    |S| =  33 budget 1.29764  SURVIVES ->  needs SAT   pool: 3 9900 7425 5 6 4950 9 11 2475 15 18 1650 20 1485 1188 30 33 900 36 44 660 50 54 495 75 90 330 99 300 270 135 198 165
  L = 30030    |S| =  31 budget 1.20326  SURVIVES ->  needs SAT   pool: 3 10010 5 6 4290 3003 11 2310 14 15 21 1430 1365 26 1155 30 1001 33 35 39 546 65 455 429 78 330 105 273 231 210 165
  L = 30240    |S| =  44 budget 1.49140  NODECAP q=3 -> UNDECIDED
  L = 30600    |S| =  31 budget 1.28941  SURVIVES ->  needs SAT   pool: 3 5 6120 6 8 9 3060 2550 15 18 20 1530 1275 30 900 36 765 680 50 51 600 510 68 75 90 306 300 120 204 153 200
  L = 31080    |S| =  29 budget 1.20801  SURVIVES ->  needs SAT   pool: 15540 3 7770 5 6216 6 8 3108 14 2220 15 20 1554 21 1295 1110 30 35 888 740 56 74 105 296 111 120 140 210 168
  L = 31320    |S| =  28 budget 1.28110  SURVIVES ->  needs SAT   pool: 15660 3 7830 5 6 8 9 3480 15 2088 18 20 29 1080 30 1044 36 870 783 54 90 116 270 120 261 135 216 174
  L = 31500    |S| =  36 budget 1.30095  NODECAP q=5 -> UNDECIDED
  L = 31680    |S| =  35 budget 1.41196  SURVIVES ->  needs SAT   pool: 31680 3 10560 5 6 8 9 3168 11 2640 15 18 20 1584 30 1056 33 36 44 704 48 660 576 495 440 90 96 330 99 320 288 120 198 165 176
  L = 31920    |S| =  30 budget 1.23462  SURVIVES ->  needs SAT   pool: 31920 3 5 6 8 14 2280 15 1680 20 21 1520 1140 30 1064 35 798 48 56 380 95 336 105 285 114 120 140 228 210 168
  L = 32130    |S| =  37 budget 1.24525  SURVIVES ->  needs SAT   pool: 3 5 6426 6 5355 4590 9 3213 14 2295 15 18 1785 21 1530 1190 30 1071 35 765 714 51 54 63 510 459 378 90 315 105 306 119 270 135 153 210 189
  L = 32340    |S| =  30 budget 1.19923  SURVIVES ->  needs SAT   pool: 16170 3 5 6 5390 4620 3234 11 2940 14 2310 15 20 21 1155 30 33 35 44 735 660 98 330 105 308 245 140 231 210 165
  L = 32400    |S| =  34 budget 1.30892  NODECAP q=3 -> UNDECIDED
  L = 32760    |S| =  44 budget 1.52176  SURVIVES ->  needs SAT   pool: 32760 3 10920 8190 5 6 8 4095 9 3276 14 15 18 20 21 1560 1365 26 1260 1170 30 35 936 36 39 56 585 546 63 65 504 468 455 78 90 315 105 120 273 260 140 156 210 168
  L = 33120    |S| =  27 budget 1.30239  SURVIVES ->  needs SAT   pool: 3 8280 5 6624 6 8 9 2760 15 18 20 1656 23 30 36 828 48 690 69 414 90 96 345 288 120 138 230
  L = 33264    |S| =  35 budget 1.21155  SURVIVES ->  needs SAT   pool: 33264 3 8316 6 8 4158 9 3696 11 14 2079 18 1848 21 1584 1188 33 1008 36 44 48 54 56 63 504 378 99 336 308 231 216 168 198 176 189
  L = 33480    |S| =  26 budget 1.24149  SURVIVES ->  needs SAT   pool: 3 8370 5 6 5580 8 9 2790 15 18 20 1395 30 1080 36 930 744 54 558 90 120 270 135 155 216 186
  L = 33600    |S| =  38 budget 1.27116  NODECAP q=2 -> UNDECIDED
  L = 33660    |S| =  34 budget 1.28417  SURVIVES ->  needs SAT   pool: 3 11220 8415 5 6 9 3740 3366 11 3060 15 18 20 1530 30 33 36 935 44 765 51 660 561 510 68 495 90 99 330 306 153 165 204 198
  L = 34020    |S| =  34 budget 1.30409  NODECAP q=3 -> UNDECIDED
  L = 34200    |S| =  30 budget 1.26702  SURVIVES ->  needs SAT   pool: 3 5 6840 6 8 9 3420 2850 15 2280 18 20 1425 30 1140 36 950 900 50 600 75 90 380 95 114 300 120 285 228 200
  L = 34320    |S| =  32 budget 1.27681  SURVIVES ->  needs SAT   pool: 3 5 6864 6 8 4290 11 2640 15 20 1716 1560 1430 26 30 33 1040 39 44 48 660 624 65 78 440 429 330 120 260 156 165 176
  L = 34440    |S| =  24 budget 1.20714  SURVIVES ->  needs SAT   pool: 34440 3 11480 5 6 8 2870 14 15 20 21 30 1148 35 861 41 56 615 410 105 120 140 210 168
  L = 34560    |S| =  28 budget 1.27523  NODECAP q=3 -> UNDECIDED
  L = 34650    |S| =  36 budget 1.35221  SURVIVES ->  needs SAT   pool: 17325 3 5 6 5775 4950 9 11 3150 14 2475 15 2310 18 1925 21 1650 30 1155 33 35 50 63 525 495 75 90 99 350 105 330 315 231 165 210 198
  L = 35100    |S| =  33 budget 1.23402  SURVIVES ->  needs SAT   pool: 35100 3 8775 5 6 5850 9 2925 15 18 20 1755 26 30 1170 36 975 39 900 50 54 650 585 65 75 468 78 90 300 270 135 260 156
  L = 35280    |S| =  38 budget 1.44861  SURVIVES ->  needs SAT   pool: 17640 3 5 6 8 4410 9 3920 3528 2940 14 15 18 20 1764 21 1680 1260 30 35 1008 36 48 735 56 63 504 441 90 98 105 336 315 120 140 245 168 210
  L = 35640    |S| =  37 budget 1.41897  NODECAP q=3 -> UNDECIDED
  L = 35910    |S| =  29 budget 1.22200  SURVIVES ->  needs SAT   pool: 35910 17955 3 5 6 5985 9 14 15 2394 18 21 30 35 1026 798 54 63 90 95 378 105 114 315 285 270 135 210 189
  L = 36000    |S| =  31 budget 1.28289  NODECAP q=5 -> UNDECIDED
  L = 36120    |S| =  28 budget 1.19936  SURVIVES ->  needs SAT   pool: 3 9030 5 7224 6 6020 5160 8 14 15 2408 20 1806 21 1505 30 35 860 56 645 516 86 105 120 140 168 215 210
  L = 36540    |S| =  29 budget 1.30071  SURVIVES ->  needs SAT   pool: 18270 3 5 6 9 3654 3045 14 15 18 20 21 29 1260 30 1218 35 1044 36 870 63 90 105 116 315 140 261 174 210
  L = 36720    |S| =  36 budget 1.30357  NODECAP q=3 -> UNDECIDED
  L = 36960    |S| =  39 budget 1.38931  SURVIVES ->  needs SAT   pool: 3 9240 5 6 8 4620 3696 11 14 2640 15 2310 20 1848 21 1680 30 1155 33 35 1056 44 48 56 660 440 96 105 336 330 120 308 140 231 165 224 168 176 210
  L = 37440    |S| =  33 budget 1.34073  NODECAP q=2 -> UNDECIDED
  L = 37620    |S| =  29 budget 1.26353  SURVIVES ->  needs SAT   pool: 3 5 6 6270 9 11 3420 3135 15 18 20 30 33 1140 36 44 660 495 90 95 99 380 114 330 285 165 228 209 198
  L = 37800    |S| =  45 budget 1.49796  SURVIVES ->  needs SAT   pool: 3 5 7560 6 6300 8 9 3780 3150 14 15 18 2100 20 21 1400 30 1260 35 1080 36 900 50 54 56 63 600 525 75 504 90 378 105 350 120 315 300 135 140 270 168 216 210 189 200
  L = 38610    |S| =  32 budget 1.25465  SURVIVES ->  needs SAT   pool: 19305 3 12870 5 6 9 4290 3861 11 15 18 1755 26 1485 1430 30 33 1170 39 54 65 585 78 495 90 429 99 330 135 270 165 198
  L = 38640    |S| =  33 budget 1.28116  SURVIVES ->  needs SAT   pool: 3 5 6 8 4830 14 2760 15 2576 2415 20 21 23 1680 1610 30 35 966 48 56 690 644 69 483 105 345 336 120 138 140 168 230 210
  L = 38880    |S| =  33 budget 1.28308  NODECAP q=3 -> UNDECIDED
  L = 39060    |S| =  33 budget 1.26326  SURVIVES ->  needs SAT   pool: 39060 3 13020 9765 5 6 5580 9 4340 14 2790 15 2604 18 20 1953 21 1395 30 1260 35 36 930 651 63 558 90 105 315 140 155 186 210
  L = 39480    |S| =  26 budget 1.19245  SURVIVES ->  needs SAT   pool: 3 13160 5 6 8 4935 3290 14 2820 15 20 21 1880 30 1316 35 56 564 470 105 120 329 140 141 168 210
  L = 39600    |S| =  37 budget 1.43619  SURVIVES ->  needs SAT   pool: 39600 3 9900 5 6 8 4950 9 11 15 2640 2475 18 20 1650 1584 30 33 36 44 900 48 50 660 600 75 495 90 440 99 120 330 300 165 176 198 200
  L = 39690    |S| =  31 budget 1.23225  NODECAP q=3 -> UNDECIDED
  L = 39780    |S| =  34 budget 1.22283  SURVIVES ->  needs SAT   pool: 39780 3 9945 5 7956 6 9 3060 15 18 2210 20 26 1530 30 1170 36 39 51 765 663 65 68 585 78 510 468 90 306 153 260 156 221 204
  L = 39960    |S| =  29 budget 1.25603  SURVIVES ->  needs SAT   pool: 3 13320 5 6 8 9 3996 3330 15 18 2220 20 1665 30 36 1110 1080 999 888 54 740 74 90 111 120 135 296 270 216
  L = 40320    |S| =  40 budget 1.46411  NODECAP q=2 -> UNDECIDED
  L = 40950    |S| =  37 budget 1.30391  SURVIVES ->  needs SAT   pool: 40950 3 5 8190 6 5850 9 4095 3150 14 2925 15 18 21 26 30 1365 35 1170 39 975 50 63 650 65 585 75 546 78 525 90 455 105 350 315 273 210
  L = 41040    |S| =  33 budget 1.27865  NODECAP q=3 -> UNDECIDED
  L = 41160    |S| =  24 budget 1.19407  NODECAP q=7 -> UNDECIDED
